id,case_group
1105,JUST CAUSE EVICTION
1106,JUST CAUSE EVICTION
1107,TENANT RELOCATION ASSIST ORD
1108,TENANT RELOCATION ASSIST ORD
1109,TENANT RELOCATION ASSIST ORD
1110,WEEDS AND VEGETATION
1111,WEEDS AND VEGETATION
1112,HOUSING
1113,WEEDS AND VEGETATION
1114,WEEDS AND VEGETATION
1115,WEEDS AND VEGETATION
1116,ZONING
1117,BUILDING
1118,ZONING
1119,TENANT RELOCATION ASSIST ORD
1120,WEEDS AND VEGETATION
1121,HOUSING
1122,TENANT RELOCATION ASSIST ORD
1123,WEEDS AND VEGETATION
1124,HOUSING
1125,TENANT RELOCATION ASSIST ORD
1126,TENANT RELOCATION ASSIST ORD
1127,ZONING
1128,TENANT RELOCATION ASSIST ORD
1129,SITE
1130,ZONING
1131,ZONING
1132,TENANT RELOCATION ASSIST ORD
1133,TENANT RELOCATION ASSIST ORD
1134,VACANT BUILDING
1135,BUILDING
1136,BUILDING
1137,VACANT BUILDING
1138,HOUSING
1139,VACANT BUILDING
1140,ZONING
1141,VACANT BUILDING
1142,ZONING
1143,ZONING
1144,VACANT BUILDING
1145,HOUSING
1146,ZONING
1147,ZONING
1148,ZONING
1149,ZONING
1150,SITE
1151,ZONING
1152,HOUSING
1153,ZONING
1154,VACANT BUILDING
1155,SITE
1156,CONSTRUCTION NOISE
1157,VACANT BUILDING
1158,HOUSING
1159,ZONING
1160,VACANT BUILDING
1161,ZONING
1162,VACANT BUILDING
1163,HOUSING
1164,WEEDS AND VEGETATION
1165,ZONING
1166,ZONING
1167,ZONING
1168,ZONING
1169,BUILDING
1170,ZONING
1171,HOUSING
1172,ELECTRICAL
1173,SITE
1174,WEEDS AND VEGETATION
1175,ZONING
1176,ZONING
1177,ZONING
1178,TENANT RELOCATION ASSIST ORD
1179,ZONING
1180,ZONING
1181,ZONING
1182,WEEDS AND VEGETATION
1183,WEEDS AND VEGETATION
1184,BUILDING
1185,
1186,WEEDS AND VEGETATION
1187,HOUSING
1188,SIGNS
1189,BUILDING
1190,SIGNS
1191,ZONING
1192,SIGNS
1193,JUST CAUSE EVICTION
1194,BUILDING
1195,TENANT RELOCATION ASSIST ORD
1196,ZONING
1197,BUILDING
1198,HOUSING
1199,HOUSING
1200,BUILDING
1201,BUILDING
1202,WEEDS AND VEGETATION
1203,
1204,ZONING
1205,ZONING
1206,HOUSING
1207,HOUSING
1208,ZONING
1209,HOUSING
1210,ZONING
1211,VACANT BUILDING
1212,ZONING
1213,ZONING
1214,ZONING
1215,HOUSING
1216,ZONING
1217,ZONING
1218,
1219,TENANT RELOCATION ASSIST ORD
1220,
1221,SITE
1222,
1223,HOUSING
1224,ZONING
1225,
1226,ZONING
1227,
1228,BUILDING
1229,VACANT BUILDING
1230,ZONING
1231,VACANT BUILDING
1232,WEEDS AND VEGETATION
1233,HOUSING
1234,BUILDING
1235,VACANT BUILDING
1236,VACANT BUILDING
1237,VACANT BUILDING
1238,HOUSING
1239,
1240,
1241,BUILDING
1242,CONSTRUCTION NOISE
1243,TENANT RELOCATION ASSIST ORD
1244,ZONING
1245,ZONING
1246,BUILDING
1247,BUILDING
1248,SITE
1249,
1250,ZONING
1251,WEEDS AND VEGETATION
1252,VACANT BUILDING
1253,HOUSING
1254,WEEDS AND VEGETATION
1255,WEEDS AND VEGETATION
1256,WEEDS AND VEGETATION
1257,WEEDS AND VEGETATION
1258,WEEDS AND VEGETATION
1259,WEEDS AND VEGETATION
1260,WEEDS AND VEGETATION
1261,WEEDS AND VEGETATION
1262,WEEDS AND VEGETATION
1263,HOUSING
1264,BUILDING
1265,ZONING
1266,VACANT BUILDING
1267,VACANT BUILDING
1268,HOUSING
1269,ZONING
1270,ZONING
1271,ZONING
1272,ZONING
1273,ZONING
1274,ZONING
1275,ZONING
1276,HOUSING
1277,BUILDING
1278,BUILDING
1279,ZONING
1280,BUILDING
1281,JUST CAUSE EVICTION
1282,
1283,ZONING
1284,ZONING
1285,HOUSING
1286,SIGNS
1287,ZONING
1288,BUILDING
1289,ZONING
1290,HOUSING
1291,WEEDS AND VEGETATION
1292,BUILDING
1293,HOUSING
1294,
1295,ZONING
1296,BUILDING
1297,BUILDING
1298,CONSTRUCTION NOISE
1299,WEEDS AND VEGETATION
1300,BUILDING
1301,ZONING
1302,BUILDING
1303,ZONING
1304,ZONING
1305,ZONING
1306,ZONING
1307,WEEDS AND VEGETATION
1308,JUST CAUSE EVICTION
1309,JUST CAUSE EVICTION
1310,JUST CAUSE EVICTION
1311,JUST CAUSE EVICTION
1312,JUST CAUSE EVICTION
1313,JUST CAUSE EVICTION
1314,JUST CAUSE EVICTION
1315,JUST CAUSE EVICTION
1316,JUST CAUSE EVICTION
1317,ZONING
1318,ZONING
1319,VACANT BUILDING
1320,WEEDS AND VEGETATION
1321,VACANT BUILDING
1322,ZONING
1323,
1324,BUILDING
1325,ZONING
1326,ZONING
1327,HOUSING
1328,ZONING
1329,TENANT RELOCATION ASSIST ORD
1330,ZONING
1331,
1332,ZONING
1333,JUST CAUSE EVICTION
1334,HOUSING
1335,BUILDING
1336,BUILDING
1337,HOUSING
1338,BUILDING
1339,WEEDS AND VEGETATION
1340,WEEDS AND VEGETATION
1341,HOUSING
1342,
1343,ZONING
1344,HOUSING
1345,ZONING
1346,ZONING
1347,
1348,
1349,WEEDS AND VEGETATION
1350,WEEDS AND VEGETATION
1351,ZONING
1352,VACANT BUILDING
1353,WEEDS AND VEGETATION
1354,HOUSING
1355,ZONING
1356,ZONING
1357,BUILDING
1358,WEEDS AND VEGETATION
