id,date,result,case_id
858,1/13/2016,FAILED,
859,1/13/2016,FAILED,
860,1/13/2016,FAILED,
861,1/13/2016,PASSED,
862,1/13/2016,FAILED,
863,1/13/2016,PASSED,
864,1/13/2016,PASSED,
865,1/13/2016,PASSED,
866,1/12/2016,PASSED,
867,1/12/2016,PASSED,
868,1/12/2016,PASSED,
869,1/12/2016,,
870,1/11/2016,PASSED,
871,1/11/2016,,
872,1/11/2016,PASSED,
873,1/11/2016,PASSED,
874,1/11/2016,PASSED,
875,1/11/2016,FAILED,
876,1/11/2016,FAILED,
877,1/11/2016,PASSED,
878,1/11/2016,PASSED,
879,1/8/2016,PASSED,
880,1/8/2016,FAILED,
881,1/8/2016,FAILED,
882,1/8/2016,PASSED,
883,1/7/2016,,
884,12/31/2015,PASSED,
885,1/7/2016,PASSED,
886,1/7/2016,FAILED,
887,1/7/2016,FAILED,
888,1/6/2016,PASSED,
889,1/6/2016,PASSED,
890,1/6/2016,FAILED,
891,1/6/2016,FAILED,
892,1/6/2016,FAILED,
893,1/6/2016,PASSED,
894,1/6/2016,FAILED,
895,1/6/2016,PASSED,
896,1/6/2016,FAILED,
897,1/6/2016,PASSED,
898,1/5/2016,PASSED,
899,1/5/2016,PASSED,
900,1/5/2016,PASSED,
901,1/5/2016,PASSED,
902,1/5/2016,PASSED,
903,1/5/2016,FAILED,
904,1/5/2016,FAILED,
905,1/5/2016,PASSED,
906,1/5/2016,FAILED,
907,1/5/2016,FAILED,
908,1/5/2016,,
909,1/5/2016,FAILED,
910,1/5/2016,PASSED,
911,1/5/2016,PASSED,
912,1/4/2016,FAILED,
913,1/4/2016,PASSED,
914,1/4/2016,FAILED,
915,1/4/2016,PASSED,
916,1/4/2016,FAILED,
917,1/4/2016,PASSED,
918,1/4/2016,FAILED,
919,1/4/2016,FAILED,
920,1/4/2016,PASSED,
921,12/31/2015,PASSED,
922,12/31/2015,FAILED,
923,12/31/2015,FAILED,
924,12/31/2015,PASSED,
925,12/31/2015,FAILED,
926,12/31/2015,PASSED,
927,12/31/2015,PASSED,
928,12/31/2015,,
929,12/31/2015,PASSED,
930,12/31/2015,PASSED,
931,12/31/2015,FAILED,
932,12/31/2015,FAILED,
933,12/31/2015,PASSED,
934,12/31/2015,FAILED,
935,12/31/2015,FAILED,
936,12/31/2015,FAILED,
937,12/30/2015,,
938,12/30/2015,FAILED,
939,12/30/2015,PASSED,
940,12/30/2015,FAILED,
941,12/30/2015,FAILED,
942,12/30/2015,PASSED,
943,12/30/2015,FAILED,
944,12/30/2015,PASSED,
945,12/30/2015,FAILED,
946,12/30/2015,PASSED,
947,12/30/2015,FAILED,
948,12/30/2015,FAILED,
949,12/29/2015,,
950,12/29/2015,,
951,12/29/2015,,
952,12/29/2015,FAILED,
953,12/29/2015,PASSED,
954,12/29/2015,PASSED,
955,12/29/2015,FAILED,
956,12/29/2015,PASSED,
957,12/29/2015,PASSED,
