id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
605,6530517,3016 1ST AVE,,,
606,6530502,4541 46TH AVE NE,,,
607,6530503,1606 41ST AVE E,,,
608,6529753,645 ELLIOTT AVE W,,,
609,6525525,4200 S OTHELLO ST,,,
610,6527403,1731 NW 57TH ST,,,
611,6527261,221 24TH AVE E,,,
612,6527194,221 24TH AVE E,,,
613,6527259,221 24TH AVE E,,,
614,6526720,2676 NE UNIVERSITY VILLAGE ST,,,
615,6526720,2676 NE UNIVERSITY VILLAGE ST,,,
616,6530495,2216 N 46TH ST,,,
617,6530493,7716 31ST AVE NE,,,
618,6530480,714 N 95TH ST,,,
619,6530470,4813 DELRIDGE WAY SW,,,
620,6530468,4815 DELRIDGE WAY SW,,,
621,6530460,7028 21ST AVE NW,,,
622,6530457,2816 W BARRETT ST,,,
623,6530455,11226 DAYTON AVE N,,,
624,6530454,5645 12TH AVE NE,,,
625,6530450,2928 S FERDINAND ST,,,
626,6530447,1020 NW 87TH ST,,,
627,6530449,1020 NW 87TH ST,,,
628,6530436,1811 1ST AVE N,,,
629,6530442,3137 NE 81ST ST,,,
630,6530442,3137 NE 81ST ST,,,
631,6530438,4529 CASCADIA AVE S,,,
632,6530427,742 N 76TH ST,,,
633,6530420,8808 28TH AVE NW,,,
634,6529788,4668 EASTERN AVE N,,,
635,6530411,1124 COLUMBIA ST,,,
636,6529781,2809 NW 67TH ST,,,
637,6529786,4668 EASTERN AVE N,,,
638,6530342,5835 SEWARD PARK AVE S,,,
639,6530038,9552 EVANSTON AVE N,,,
640,6530051,10020 15TH AVE NE,,,
641,6530054,3019 GARLOUGH AVE SW,,,
642,6530057,3718 48TH AVE NE,,,
643,6530048,1913 BIGELOW AVE N,,,
644,6530055,4037 37TH AVE SW,,,
645,6529918,1159 NE 55TH ST,,,
646,6530046,9025 PHINNEY AVE N,,,
647,6530042,9025 PHINNEY AVE N,,,
648,6529917,1157 NE 55TH ST,,,
649,6530396,4718 CALIFORNIA AVE SW,,,
650,6530398,2151 N 86TH ST,,,
651,6530398,2151 N 86TH ST,,,
652,6530397,2836 NW 62ND ST,,,
