id,PermitType,PermitNumber,PerrmitStatus
702,Construction,6527326,Permit Issued
703,Construction,6525424,Application Accepted
704,Construction,6496096,Application Accepted
705,Construction,6437638,Application Accepted
706,Construction,6527117,Permit Issued
707,Construction,6525396,Permit Issued
708,Construction,6526560,Permit Issued
709,Construction,6526560,Permit Issued
710,Construction,6506719,Permit Closed
711,Construction,6514268,Application Accepted
712,Construction,6524648,Application Accepted
713,Construction,6517760,Application Accepted
714,Construction,6523386,Permit Issued
715,Construction,6515568,Application Accepted
716,Construction,6510024,Application Accepted
717,Construction,6516190,Permit Issued
718,Construction,6525365,Permit Issued
719,Construction,6525557,Permit Issued
720,Construction,6525557,Permit Issued
721,Construction,6516851,Application Accepted
722,Construction,6527176,Permit Issued
723,Construction,6468821,Application Accepted
724,Construction,6526262,Permit Issued
725,Construction,6526273,Reviews Completed
726,Construction,6526155,Application Accepted
727,Construction,6524960,Permit Issued
728,Construction,6527106,Permit Issued
729,Construction,6527097,Permit Issued
730,Construction,6526930,Permit Issued
731,Demolition,6527073,Permit Issued
732,Construction,6527062,Permit Closed
733,Construction,6520511,Application Accepted
734,Construction,6471394,Application Accepted
735,Construction,6518807,Application Accepted
736,Construction,6399864,Application Accepted
737,Construction,6514393,Application Accepted
738,Construction,6510962,Permit Issued
739,Demolition,6526965,Reviews Completed
740,Construction,6521562,Application Accepted
741,Construction,6523328,Reviews Completed
742,Construction,6527007,Permit Issued
743,Construction,6527005,Permit Issued
744,Construction,6515455,Application Accepted
745,Construction,6513436,Application Accepted
746,Construction,6517026,Application Accepted
747,Construction,6511955,Application Accepted
748,Construction,6511776,Application Accepted
749,Construction,6526052,Permit Issued
750,Construction,6518811,Application Accepted
751,Construction,6523146,Permit Issued
752,Construction,6525488,Permit Issued
753,Construction,6518580,Permit Closed
754,Construction,6526017,Permit Issued
755,Construction,6526905,Permit Issued
756,Construction,6526897,Reviews Completed
757,Construction,6503255,Application Accepted
758,Demolition,6513093,Application Accepted
759,Construction,6526048,Permit Issued
760,Demolition,6526263,Application Accepted
761,Construction,6526201,Permit Issued
762,Construction,6526201,Permit Issued
763,Construction,6514207,Reviews Completed
764,Construction,6526883,Application Accepted
765,Construction,6500476,Reviews Completed
766,Demolition,6070644,
767,Demolition,6526854,Reviews Completed
768,Construction,6506500,Application Accepted
769,Construction,6510030,Application Accepted
770,Construction,6521526,Permit Issued
771,Construction,6469114,Application Accepted
772,Construction,6512502,Application Accepted
773,Construction,6516327,Application Accepted
774,Construction,6521031,Application Accepted
775,Demolition,6526792,Reviews Completed
776,Construction,6506214,Application Accepted
777,Construction,6507286,Application Accepted
778,Construction,6526526,Application Accepted
779,Construction,6526776,Permit Issued
780,Demolition,6509636,Reviews Completed
781,Construction,6525393,Permit Issued
782,Construction,6522125,Application Accepted
783,Demolition,6454041,Reviews Completed
784,Construction,6519545,Application Accepted
785,Construction,6519545,Application Accepted
786,Construction,6512123,Permit Issued
787,Construction,6516585,Permit Issued
788,Construction,6526763,Permit Closed
789,Construction,6493808,Application Accepted
790,Construction,6491583,Application Accepted
791,Construction,6509327,Application Accepted
792,Construction,6489743,Application Accepted
793,Construction,6491720,Application Accepted
794,Construction,6522143,Application Accepted
795,Construction,6496172,Application Accepted
796,Construction,6516269,Application Accepted
797,Construction,6503362,Application Accepted
798,Demolition,6526663,Reviews Completed
799,Construction,6526691,Permit Issued
800,Construction,6497743,Reviews Completed
801,Construction,6513771,Application Accepted
802,Construction,6526646,Permit Issued
803,Demolition,6488041,Reviews Completed
804,Construction,6526614,Permit Issued
805,Construction,6492484,Application Accepted
806,Construction,6514754,Application Accepted
807,Construction,6511470,Application Accepted
808,Demolition,6522525,Application Accepted
809,Construction,6514054,Application Accepted
