id,Application/Permit Number,Address,Permit_Type_ID,Category_ID,Contractor_ID
550,6530241,3718 BAGLEY AVE N,0,0,0
551,6530661,100 SMITH ST,0,0,0
552,6530239,2134 N 64TH ST,0,0,0
553,6530237,2134 N 64TH ST,0,0,0
554,6530235,5120 KEYSTONE PL N,0,0,0
555,6530659,5041 WILSON AVE S,0,0,0
556,6530230,515 NE 84TH ST,0,0,0
557,6530023,3421 BELLA VISTA AVE S,0,0,0
558,6530023,3421 BELLA VISTA AVE S,0,0,0
559,6530019,3421 BELLA VISTA AVE S,0,0,0
560,6530019,3421 BELLA VISTA AVE S,0,0,0
561,6529555,5765 25TH AVE NE,0,0,0
562,6530041,9552 EVANSTON AVE N,0,0,0
563,6530564,7712 19TH AVE NW,0,0,0
564,6530564,7712 19TH AVE NW,0,0,0
565,6530560,6815 FREMONT AVE N,0,0,0
566,6512580,1900 1ST AVE,0,0,0
567,6530013,8856 BURKE AVE N,0,0,0
568,6530016,8856 BURKE AVE N,0,0,0
569,6530426,1835 S KING ST,0,0,0
570,6530413,1829B 24TH AVE,0,0,0
571,6530415,818 33RD AVE,0,0,0
572,6530410,1829B 24TH AVE,0,0,0
573,6530205,1401 1ST AVE,0,0,0
