id,Type
1911,Construction
1912,Construction
1913,Construction
1914,Construction
1915,Construction
1916,Construction
1917,Construction
1918,Construction
1919,Demolition
1920,Construction
1921,Demolition
1922,Demolition
1923,Construction
1924,Construction
1925,Construction
1926,Construction
1927,Construction
1928,Construction
1929,Construction
1930,Construction
1931,Construction
1932,Construction
1933,Construction
1934,Construction
1935,Construction
1936,Construction
1937,Construction
1938,Construction
1939,Construction
1940,Construction
1941,Construction
1942,Construction
1943,Construction
1944,Construction
1945,Construction
1946,Construction
1947,Construction
1948,Construction
1949,Construction
1950,Site Development
1951,Construction
1952,Construction
1953,Construction
1954,Construction
1955,Construction
1956,Construction
1957,Construction
1958,Construction
1959,Construction
1960,Demolition
1961,Site Development
1962,Construction
1963,Construction
1964,Construction
1965,Construction
1966,Construction
1967,Construction
1968,Construction
1969,Construction
1970,Site Development
1971,Construction
1972,Construction
1973,Demolition
1974,Construction
1975,Demolition
1976,Construction
1977,Construction
1978,Construction
1979,Construction
1980,Construction
1981,Construction
1982,Demolition
1983,Construction
1984,Construction
1985,Construction
1986,Construction
1987,Construction
1988,Construction
1989,Construction
1990,Construction
1991,Construction
1992,Construction
1993,Demolition
1994,Construction
1995,Construction
1996,Construction
1997,Construction
1998,Construction
1999,Demolition
2000,Construction
2001,Construction
2002,Construction
2003,Construction
2004,Construction
2005,Construction
2006,Construction
2007,Construction
2008,Construction
2009,Construction
2010,Construction
2011,Construction
2012,Construction
2013,Construction
2014,Construction
2015,Construction
2016,Construction
2017,Construction
2018,Construction
2019,Construction
2020,Construction
2021,Construction
2022,Construction
2023,Demolition
2024,Demolition
2025,Construction
2026,Construction
2027,Construction
2028,Construction
2029,Construction
2030,Construction
2031,Demolition
2032,Construction
2033,Construction
2034,Construction
2035,Construction
2036,Demolition
2037,Construction
2038,Construction
2039,Construction
2040,Construction
2041,Construction
2042,Construction
2043,Construction
2044,Construction
2045,Construction
2046,Construction
2047,Construction
2048,Construction
2049,Construction
2050,Construction
2051,Construction
2052,Construction
2053,Construction
2054,Site Development
2055,Demolition
2056,Demolition
2057,Demolition
2058,Construction
2059,Construction
2060,Construction
2061,Construction
2062,Construction
2063,Construction
2064,Construction
2065,Construction
2066,Construction
2067,Construction
2068,Construction
2069,Construction
2070,Construction
2071,Construction
2072,Construction
2073,Construction
2074,Construction
2075,Construction
2076,Construction
2077,Construction
2078,Construction
2079,Construction
2080,Construction
2081,Construction
2082,Construction
2083,Construction
2084,Construction
2085,Construction
2086,Construction
2087,Construction
2088,Demolition
2089,Construction
2090,Construction
2091,Construction
2092,Construction
2093,Demolition
2094,Construction
2095,Construction
2096,Construction
2097,Construction
2098,Construction
2099,Construction
2100,Construction
2101,Construction
2102,Construction
