id,Street,Longitude,Latitude,BuildingPermit_id
406,2217 42ND AVE SW,-122.38541264,47.58340509,
407,12325 30TH AVE NE,-122.29689486,47.71820586,
408,2110 WAVERLY WAY E,-122.28761769,47.63799039,
409,9205 32ND AVE NE,-122.29358399,47.69585084,
410,9740 3RD AVE NW,-122.36047796,47.70083172,
411,1724 HOWELL PL,-122.28032877,47.61703966,
412,605 1ST AVE,-122.33438296,47.60197119,
413,12360 LAKE CITY WAY NE,-122.2947673,47.71895131,
414,11338 20TH AVE NE,-122.30619809,47.71068618,
415,500 4TH AVE,-122.32928683,47.60290729,
416,8047 11TH AVE NW,-122.37072941,47.68833858,
417,7415 GREENWOOD AVE N,-122.35549787,47.68317695,
418,715 E PINE ST,-122.32273591,47.61491104,
419,1115 COLUMBIA ST,-122.32283029,47.60819513,
420,747 BROADWAY,-122.32194221,47.60884785,
421,1322 NE 63RD ST,-122.31338093,47.67465756,
422,8724 SAND POINT WAY NE,-122.26988583,47.69266268,
423,1926 6TH AVE S,-122.32512152,47.58553216,
424,901 FAIRVIEW AVE N,-122.33385277,47.62774795,
425,2401 UTAH AVE S,-122.33535751,47.58181846,
426,4215 RAINIER AVE S,-122.28886386,47.56523993,
427,2535 32ND AVE W,-122.39792862,47.64082013,
428,1915 TERRY AVE,-122.33392235,47.61628289,
429,3304 S HOLLY PL,-122.28987248,47.54230223,
430,351 M L KING JR WAY,-122.29708439,47.60576476,
431,3515 BURKE AVE N,-122.33545156,47.64967111,
432,9024 12TH AVE NW,-122.37107981,47.69506055,
433,131 22ND AVE E,-122.30391655,47.61932384,
434,8410 GREENWOOD AVE N,-122.35496815,47.6903066,
435,8408 GREENWOOD AVE N,-122.35497248,47.69018689,
436,3501 RAINIER AVE S,-122.29347773,47.57161504,
437,2320 NW BLUE RIDGE DR,-122.38595194,47.70354657,
438,524 30TH AVE,-122.29337889,47.60695234,
439,1902 BIGELOW AVE N,-122.34799082,47.63594864,
440,121 W PROSPECT ST,-122.35901167,47.62854549,
441,8330 22ND AVE NW,-122.38409757,47.68965288,
442,11226 DAYTON AVE N,-122.35252677,47.71136167,
443,801 2ND AVE,-122.33448205,47.60370224,
444,2818 NW 69TH ST,-122.3938397,47.67894314,
445,2818 NW 69TH ST,-122.3938397,47.67894314,
446,700 2ND AVE,-122.33313747,47.60307545,
447,2320 E DENNY WAY,-122.30177668,47.61911912,
448,7738 20TH AVE SW,-122.3588002,47.53256912,
449,2155 N NORTHLAKE WAY,-122.33242442,47.64810523,
450,1821 29TH AVE,-122.29510862,47.61832892,
451,1220 HOWELL ST,-122.33061198,47.61770123,
452,2318 N 44TH ST,-122.33041999,47.66044013,
453,928 E ALLISON ST,-122.31942567,47.64890653,
454,1326 5TH AVE,-122.33389853,47.60932305,
455,4920 32ND AVE NE,-122.29324764,47.6647484,
456,1920 S STATE ST,-122.30774476,47.587867,
457,1920 S STATE ST,-122.30774476,47.587867,
458,229 31ST AVE E,-122.29261304,47.62108538,
459,9021 15TH AVE SW,-122.35429336,47.5222024,
460,216 9TH AVE N,-122.33936204,47.62022588,
461,750 S MICHIGAN ST,-122.3240793,47.54710633,
462,3430 NW 59TH ST,-122.40253675,47.67150928,
463,1115 N 42ND ST,-122.34387311,47.65786969,
464,8853 38TH AVE SW,-122.38104448,47.52319907,
465,2315 NW 91ST ST,-122.38610219,47.69496597,
466,2044 EASTLAKE AVE E,-122.32559279,47.63812426,
467,3531 WALLINGFORD AVE N,-122.33659282,47.65018253,
468,500 TERRY AVE N,-122.3367397,47.62398599,
469,1326 5TH AVE,-122.33389853,47.60932305,
470,3531 WALLINGFORD AVE N,-122.33659282,47.65018253,
471,3525 WALLINGFORD AVE N,-122.33663831,47.65001537,
472,4649 SUNNYSIDE AVE N,-122.33119309,47.66410692,
473,3525 WALLINGFORD AVE N,-122.33663831,47.65001537,
474,4060 SPOKANE LN NE,-122.30776869,47.65633261,
475,800 5TH AVE,-122.33029353,47.60573523,
476,3415 32ND AVE W,-122.39853414,47.65099981,
477,5655 21ST AVE SW,-122.36020942,47.5503724,
478,601 UNION ST,-122.33207691,47.610431,
479,1624 N 55TH ST,-122.33686619,47.66888411,
480,428 DEWEY PL E,-122.29356842,47.62341381,
481,201 S JACKSON ST,-122.33089167,47.5987821,
482,2814 E VALLEY ST,-122.29574265,47.62609668,
483,3200 NW 65TH ST,-122.39862497,47.67599988,
484,345 BOREN AVE N,-122.33625748,47.62180794,
485,1001 BROADWAY,-122.32136945,47.61141658,
486,8542 1ST AVE NW,-122.35733193,47.69159213,
487,1800 S JACKSON ST,-122.30876401,47.59938819,
488,3622 46TH AVE SW,-122.39051945,47.57139744,
489,8026 11TH AVE NW,-122.37014093,47.68776395,
490,8026 11TH AVE NW,-122.37014093,47.68776395,
491,3920 BOYD PL SW,-122.40714691,47.56892835,
492,4709 MERIDIAN AVE N,-122.33401633,47.66314904,
493,1422 20TH AVE,-122.30595162,47.61365426,
494,1207 NW 83RD ST,-122.37195954,47.68856696,
