Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
151,Buccaneers,Eagles,11,Sunday,11/22/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
152,Broncos,Bears,11,Sunday,11/22/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
153,Packers,Vikings,11,Sunday,11/22/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
154,Rams,Ravens,11,Sunday,11/22/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
155,Cowboys,Dolphins,11,Sunday,11/22/2015,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
156,Redskins,Panthers,11,Sunday,11/22/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
157,Bengals,Cardinals,11,Sunday,11/22/2015,4:05 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
158,49ers,Seahawks,11,Sunday,11/22/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
159,Chiefs,Chargers,11,Sunday,11/22/2015,8:30 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
160,Bills,Patriots,11,Monday,11/23/2015,8:30 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
161,Eagles,Lions,12,Thursday,11/26/2015,12:30 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
162,Panthers,Cowboys,12,Thursday,11/26/2015,4:30 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
163,Bears,Packers,12,Thursday,11/26/2015,8:30 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
164,Saints,Texans,12,Sunday,11/29/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
165,Rams,Bengals,12,Sunday,11/29/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
