ID,Street,Longitude,Latitude,BuildingPermit_id
381,2310 WESTMONT WAY W,-122.40581246,47.63919753,
382,1201 3RD AVE,-122.33612134,47.60723772,
383,1735 DEXTER AVE N,-122.34267297,47.63491484,
384,1251 JOHN ST,-122.33142264,47.61950007,
385,1956 26TH AVE E,-122.29913369,47.637437,
386,2101 7TH AVE,-122.33938109,47.61586972,
387,3720 59TH AVE SW,-122.4080401,47.57047257,
388,215 2ND AVE S,-122.33197468,47.60038734,
389,8149 28TH AVE SW,-122.36884483,47.52859633,
390,450 NE 100TH ST,-122.32353047,47.70178813,
391,11756 4TH AVE NW,-122.36199128,47.71585295,
392,3322 W GOVERNMENT WAY,-122.40053034,47.6599128,
393,1446 NW 62ND ST,-122.37574279,47.67404923,
394,8046 26TH AVE NW,-122.38954593,47.68814913,
395,74 S LUCILE ST,-122.33558626,47.5535981,
396,6655 NE 60TH ST,-122.25467929,47.67192819,
397,4405 CORLISS AVE N,-122.33163123,47.66050825,
398,7112 48TH AVE S,-122.27241268,47.53854212,
399,902 31ST AVE,-122.29231192,47.61052625,
400,1001 4TH AVE,-122.33389399,47.60615304,
401,1001 4TH AVE,-122.33389399,47.60615304,
402,7050 32ND AVE S,-122.2904473,47.53935583,
403,1001 4TH AVE,-122.33389399,47.60615304,
404,1316 E REMINGTON CT,-122.31463399,47.6056934,
405,1545 NE 88TH ST,-122.31032679,47.69196538,
406,1545 NE 88TH ST,-122.31032679,47.69196538,
407,5130 S LUCILE ST,-122.26854862,47.55290722,
408,2020 S NYE PL,-122.3051544,47.5954716,
409,4443 S EDDY ST,-122.27623279,47.54497132,
410,4207 BAGLEY AVE N,-122.33286153,47.65828151,
411,2101 4TH AVE,-122.34245444,47.61431133,
412,4307 S WEBSTER ST,-122.27886419,47.53506603,
413,2349 WEST VIEWMONT WAY W,-122.40892074,47.63930517,
414,5524 ASHWORTH AVE N,-122.33875812,47.66947321,
415,2629 NW 63RD ST,-122.39138445,47.67430996,
416,802 E PIKE ST,-122.32175689,47.61438964,
417,706 N 143RD ST,-122.35012545,47.73250993,
418,5816 15TH AVE NW,-122.37569856,47.67120442,
419,2309 N 62ND ST,-122.33042719,47.67343902,
420,3126 WEST LAURELHURST DR NE,-122.27748242,47.65068587,
421,3126 WEST LAURELHURST DR NE,-122.27748242,47.65068587,
422,501 FAIRVIEW AVE N,-122.33458524,47.62334132,
423,2016 E MILLER ST,-122.30467474,47.64191819,
424,2016 E MILLER ST,-122.30467474,47.64191819,
425,600 STEWART ST,-122.33726765,47.61391287,
426,131 22ND AVE E,-122.30391655,47.61932384,
427,4700 SW ADMIRAL WAY,-122.39306099,47.58099241,
428,612 N 45TH ST,-122.35088977,47.66159606,
429,333 DEXTER AVE N,-122.34293264,47.62177959,
430,3914 48TH PL NE,-122.27540641,47.65750961,
431,8755 PHINNEY AVE N,-122.35426157,47.6939539,
432,10528 15TH AVE NW,-122.37631529,47.70604218,
433,601 UNION ST,-122.33207691,47.610431,
434,2217 42ND AVE SW,-122.38541264,47.58340509,
435,12325 30TH AVE NE,-122.29689486,47.71820586,
436,2110 WAVERLY WAY E,-122.28761769,47.63799039,
437,9205 32ND AVE NE,-122.29358399,47.69585084,
438,9740 3RD AVE NW,-122.36047796,47.70083172,
439,1724 HOWELL PL,-122.28032877,47.61703966,
440,605 1ST AVE,-122.33438296,47.60197119,
441,12360 LAKE CITY WAY NE,-122.2947673,47.71895131,
442,11338 20TH AVE NE,-122.30619809,47.71068618,
443,500 4TH AVE,-122.32928683,47.60290729,
444,8047 11TH AVE NW,-122.37072941,47.68833858,
445,7415 GREENWOOD AVE N,-122.35549787,47.68317695,
446,715 E PINE ST,-122.32273591,47.61491104,
447,1115 COLUMBIA ST,-122.32283029,47.60819513,
448,747 BROADWAY,-122.32194221,47.60884785,
449,1322 NE 63RD ST,-122.31338093,47.67465756,
450,8724 SAND POINT WAY NE,-122.26988583,47.69266268,
451,1926 6TH AVE S,-122.32512152,47.58553216,
452,901 FAIRVIEW AVE N,-122.33385277,47.62774795,
453,2401 UTAH AVE S,-122.33535751,47.58181846,
454,4215 RAINIER AVE S,-122.28886386,47.56523993,
455,2535 32ND AVE W,-122.39792862,47.64082013,
456,1915 TERRY AVE,-122.33392235,47.61628289,
457,3304 S HOLLY PL,-122.28987248,47.54230223,
458,351 M L KING JR WAY,-122.29708439,47.60576476,
459,3515 BURKE AVE N,-122.33545156,47.64967111,
460,9024 12TH AVE NW,-122.37107981,47.69506055,
461,131 22ND AVE E,-122.30391655,47.61932384,
462,8410 GREENWOOD AVE N,-122.35496815,47.6903066,
463,8408 GREENWOOD AVE N,-122.35497248,47.69018689,
464,3501 RAINIER AVE S,-122.29347773,47.57161504,
465,2320 NW BLUE RIDGE DR,-122.38595194,47.70354657,
466,524 30TH AVE,-122.29337889,47.60695234,
467,1902 BIGELOW AVE N,-122.34799082,47.63594864,
468,121 W PROSPECT ST,-122.35901167,47.62854549,
