ID,PermitNumber,PermitType,Status
686,6517294,Construction,Application Accepted
687,6514242,Construction,Permit Issued
688,6505842,Demolition,Permit Issued
689,6526803,Construction,Application Accepted
690,6515569,Construction,Application Accepted
691,6527397,Demolition,Reviews Completed
692,6486711,Construction,Application Accepted
693,6521208,Construction,Permit Issued
694,6524904,Construction,Permit Issued
695,6314114,Construction,Application Accepted
696,6513298,Demolition,Permit Closed
697,6475431,Construction,Application Accepted
698,6512858,Construction,Application Accepted
699,6508319,Construction,Application Accepted
700,6491609,Construction,Application Accepted
701,6519362,Construction,Application Accepted
702,6510936,Construction,Application Accepted
703,6527506,Construction,Permit Issued
704,6527506,Construction,Permit Issued
705,6527506,Construction,Permit Issued
706,6504454,Construction,Permit Issued
707,6476693,Construction,Application Accepted
708,6527456,Construction,Permit Issued
709,6517579,Construction,Application Accepted
710,6520315,Construction,Application Accepted
711,6522766,Construction,Application Accepted
712,6502910,Construction,Application Accepted
713,6511455,Construction,Permit Issued
714,6520912,Construction,Permit Issued
715,6506724,Construction,Application Accepted
716,6522672,Construction,Application Accepted
717,6385169,Construction,
718,6523596,Construction,Application Accepted
719,6514195,Construction,Application Accepted
720,6512697,Site Development,Application Accepted
721,6527400,Construction,Permit Issued
722,6526708,Construction,Permit Issued
723,6527385,Construction,Application Accepted
724,6527276,Construction,Permit Issued
725,6527354,Construction,Application Accepted
726,6527346,Construction,Application Accepted
727,6526932,Construction,Permit Issued
728,6527338,Construction,Permit Issued
729,6527326,Construction,Permit Issued
730,6525424,Construction,Application Accepted
731,6496096,Construction,Application Accepted
732,6437638,Construction,Application Accepted
733,6527117,Construction,Permit Issued
734,6515691,Construction,Application Accepted
735,6525396,Construction,Permit Issued
736,6526560,Construction,Permit Issued
737,6526560,Construction,Permit Issued
738,6506719,Construction,Permit Closed
739,6514268,Construction,Application Accepted
740,6524648,Construction,Application Accepted
741,6517760,Construction,Application Accepted
742,6523386,Construction,Permit Issued
743,6515568,Construction,Application Accepted
744,6510024,Construction,Application Accepted
745,6519006,Construction,Application Accepted
746,6516190,Construction,Permit Issued
747,6525365,Construction,Permit Issued
748,6525557,Construction,Permit Issued
749,6525557,Construction,Permit Issued
750,6516851,Construction,Application Accepted
751,6516327,Construction,Application Accepted
752,6527176,Construction,Permit Issued
753,6468821,Construction,Application Accepted
754,6526262,Construction,Permit Issued
755,6526273,Construction,Reviews Completed
756,6526155,Construction,Application Accepted
757,6524960,Construction,Permit Issued
758,6527106,Construction,Permit Issued
759,6527097,Construction,Permit Issued
760,6526930,Construction,Permit Issued
761,6527073,Demolition,Permit Issued
762,6527062,Construction,Permit Closed
763,6520511,Construction,Application Accepted
764,6471394,Construction,Application Accepted
