id,group
1351,ZONING
1352,ZONING
1353,ZONING
1354,WEEDS AND VEGETATION
1355,JUST CAUSE EVICTION
1356,JUST CAUSE EVICTION
1357,JUST CAUSE EVICTION
1358,JUST CAUSE EVICTION
1359,ZONING
1360,ZONING
1361,VACANT BUILDING
1362,WEEDS AND VEGETATION
1363,VACANT BUILDING
1364,ZONING
1365,
1366,BUILDING
1367,ZONING
1368,ZONING
1369,HOUSING
1370,ZONING
1371,TENANT RELOCATION ASSIST ORD
1372,ZONING
1373,
1374,ZONING
1375,JUST CAUSE EVICTION
1376,HOUSING
1377,BUILDING
1378,BUILDING
1379,HOUSING
1380,BUILDING
1381,WEEDS AND VEGETATION
1382,WEEDS AND VEGETATION
1383,HOUSING
1384,
1385,ZONING
1386,HOUSING
1387,ZONING
1388,ZONING
1389,
1390,
1391,WEEDS AND VEGETATION
1392,WEEDS AND VEGETATION
1393,ZONING
1394,VACANT BUILDING
1395,WEEDS AND VEGETATION
1396,HOUSING
1397,ZONING
1398,ZONING
1399,BUILDING
